category,oem,part_number,DWPD,form_factor,capacity,mfr_part_number,part_description,interface,part_specification,part_url,store
hdd,"New H3C Technologies Co., Ltd.",ST600MM0208,nan,"2.5""",600GB,0231AF72,600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO),12 Gbps,"{'Model': ['600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231AF72'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['600GB'], 'RPM': [10000], 'Format': ['512n'], 'Minimum Firmware Version': ['N001'], 'Series': ['Exos 10E300'], 'Product Id': ['ST600MM0208']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=56227&persona=live&column=partnerName&order=asc&redirectFrom=600GB%2012G%20SAS%2010K%202.5in%20512n%20HDD%20UC%20Generic%20Module%28CTO%26BTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",ST2400MM0129,nan,"2.5""",2400GB,0231A9A9,2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module(FIO),12 Gbps,"{'Model': ['2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module(FIO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A9A9'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST2400MM0129']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46434&persona=live&column=partnerName&order=asc&redirectFrom=2.4TB%2012G%20SAS%2010K%202.5in%20EP%20512e%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module%28FIO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",ST10000NM0096,nan,"3.5""",10000GB,0231A7LK,10TB 12G SAS 7.2K 3.5in EM HDD General Intelligent Disk Equipment Module,12 Gbps,"{'Model': ['10TB 12G SAS 7.2K 3.5in EM HDD General Intelligent Disk Equipment Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['seagate'], 'Part Number': ['0231A7LK'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['10000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['E001'], 'Series': ['Exos X10'], 'Product Id': ['ST10000NM0096'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com/s/article/87346</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46426&persona=live&column=partnerName&order=asc&redirectFrom=10TB%2012G%20SAS%207.2K%203.5in%20EM%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",AL15SEB12EQ,nan,"3.5""",1200GB,0231A7CA,1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO),12 Gbps,"{'Model': ['1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['TOSHIBA'], 'Part Number': ['0231A7CA'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['1200GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['1401'], 'Series': ['AL15SE'], 'Product Id': ['AL15SEB12EQ']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46479&persona=live&column=partnerName&order=asc&redirectFrom=1.2TB%2012G%20SAS%2010K%203.5in%20EP%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module%28FIO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",HUC101860CSS200,nan,"2.5""",600GB,0231AF72,600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO),12 Gbps,"{'Model': ['600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['HGST'], 'Part Number': ['0231AF72'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['600GB'], 'RPM': [10000], 'Format': ['512n'], 'Minimum Firmware Version': ['AA01'], 'Series': ['Ultrastar C10K1800'], 'Product Id': ['HUC101860CSS200']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=56159&persona=live&column=partnerName&order=asc&redirectFrom=600GB%2012G%20SAS%2010K%202.5in%20512n%20HDD%20UC%20Generic%20Module%28CTO%26BTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",AL15SEB060N,nan,"2.5""",600GB,0231AF72,600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO),12 Gbps,"{'Model': ['600GB 12G SAS 10K 2.5in 512n HDD UC Generic Module(CTO&BTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['TOSHIBA'], 'Part Number': ['0231AF72'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['600GB'], 'RPM': [10000], 'Format': ['512n'], 'Minimum Firmware Version': ['1403'], 'Series': ['AL15SE'], 'Product Id': ['AL15SEB060N']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=56141&persona=live&column=partnerName&order=asc&redirectFrom=600GB%2012G%20SAS%2010K%202.5in%20512n%20HDD%20UC%20Generic%20Module%28CTO%26BTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",AL15SEB24EQ,nan,"2.5""",2400GB,0231A9AD,2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module,12 Gbps,"{'Model': ['2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['TOSHIBA'], 'Part Number': ['0231A9AD'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['1401'], 'Series': ['AL15SE'], 'Product Id': ['AL15SEB24EQ']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46484&persona=live&column=partnerName&order=asc&redirectFrom=2.4TB%2012G%20SAS%2010K%202.5in%20EP%20512e%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",ST600MM0099,nan,"2.5""",600GB,0231A7S6,600GB 12G SAS 10K 2.5in 512e HDD General Intelligent Disk Equipment Module(FIO),12 Gbps,"{'Model': ['600GB 12G SAS 10K 2.5in 512e HDD General Intelligent Disk Equipment Module(FIO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A7S6'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['600GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST600MM0099']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46451&persona=live&column=partnerName&order=asc&redirectFrom=600GB%2012G%20SAS%2010K%202.5in%20512e%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module%28FIO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",ST600MM0099,nan,"2.5""",600GB,0231A7RS,600GB 12G SAS 10K 2.5in 512e HDD General Intelligent Disk Equipment Module,12 Gbps,"{'Model': ['600GB 12G SAS 10K 2.5in 512e HDD General Intelligent Disk Equipment Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A7RS'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['600GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST600MM0099']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46450&persona=live&column=partnerName&order=asc&redirectFrom=600GB%2012G%20SAS%2010K%202.5in%20512e%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",ST2400MM0129,nan,"2.5""",2400GB,0231A9AD,2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module,12 Gbps,"{'Model': ['2.4TB 12G SAS 10K 2.5in EP 512e HDD General Intelligent Disk Equipment Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A9AD'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST2400MM0129']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46435&persona=live&column=partnerName&order=asc&redirectFrom=2.4TB%2012G%20SAS%2010K%202.5in%20EP%20512e%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",HUH721010AL5200,nan,"3.5""",10000GB,0231A7LK,10TB 12G SAS 7.2K 3.5in EM HDD General Intelligent Disk Equipment Module,12 Gbps,"{'Model': ['10TB 12G SAS 7.2K 3.5in EM HDD General Intelligent Disk Equipment Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['HGST'], 'Part Number': ['0231A7LK'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['10000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['A384'], 'Series': ['Ultrastar He10'], 'Product Id': ['HUH721010AL5200'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com/s/article/87346</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46212&persona=live&column=partnerName&order=asc&redirectFrom=10TB%2012G%20SAS%207.2K%203.5in%20EM%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",ST2400MM0129,nan,"2.5""",2400GB,0231AF6G,2.4TB 12G SAS 10K 2.5in 512e HDD UC Generic Module(CTO&BTO),12 Gbps,"{'Model': ['2.4TB 12G SAS 10K 2.5in 512e HDD UC Generic Module(CTO&BTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231AF6G'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST2400MM0129']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=56219&persona=live&column=partnerName&order=asc&redirectFrom=2.4TB%2012G%20SAS%2010K%202.5in%20512e%20HDD%20UC%20Generic%20Module%28CTO%26BTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",AL15SEB24EQ,nan,"2.5""",2400GB,0231AF6G,2.4TB 12G SAS 10K 2.5in 512e HDD UC Generic Module(CTO&BTO),12 Gbps,"{'Model': ['2.4TB 12G SAS 10K 2.5in 512e HDD UC Generic Module(CTO&BTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['TOSHIBA'], 'Part Number': ['0231AF6G'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['1403'], 'Series': ['AL15SE'], 'Product Id': ['AL15SEB24EQ']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=56152&persona=live&column=partnerName&order=asc&redirectFrom=2.4TB%2012G%20SAS%2010K%202.5in%20512e%20HDD%20UC%20Generic%20Module%28CTO%26BTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",HUH721010AL5200,nan,"3.5""",10000GB,0231AEG0,10TB 12G SAS 7.2K 3.5in EM 512e HGST HDD Module (CMCTO),12 Gbps,"{'Model': ['10TB 12G SAS 7.2K 3.5in EM 512e HGST HDD Module (CMCTO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['HGST'], 'Part Number': ['0231AEG0'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['10000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['A384'], 'Series': ['Ultrastar He10'], 'Product Id': ['HUH721010AL5200'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com/s/article/87346</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=47927&persona=live&column=partnerName&order=asc&redirectFrom=10TB%2012G%20SAS%207.2K%203.5in%20EM%20512e%20HGST%20HDD%20Module%20%28CMCTO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",ST1200MM0129,nan,"3.5""",1200GB,0231A7HY,1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO),12 Gbps,"{'Model': ['1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A7HY'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['1200GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST1200MM0129']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46430&persona=live&column=partnerName&order=asc&redirectFrom=1.2TB%2012G%20SAS%2010K%203.5in%20EP%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module%28FIO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",HUH721010AL5200,nan,"3.5""",10000GB,0231AEG8,10TB 12G SAS 7.2K 3.5in EM 512e HGST HDD Module,12 Gbps,"{'Model': ['10TB 12G SAS 7.2K 3.5in EM 512e HGST HDD Module'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['HGST'], 'Part Number': ['0231AEG8'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['10000GB'], 'RPM': [7200], 'Format': ['512e'], 'Minimum Firmware Version': ['A384'], 'Series': ['Ultrastar He10'], 'Product Id': ['HUH721010AL5200'], 'Notes': [""Please refer to <a href='https://kb.vmware.com/s/article/87346'>https://kb.vmware.com/s/article/87346</a> for more details""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=47926&persona=live&column=partnerName&order=asc&redirectFrom=10TB%2012G%20SAS%207.2K%203.5in%20EM%20512e%20HGST%20HDD%20Module,VMware
hdd,"New H3C Technologies Co., Ltd.",ST1200MM0129,nan,"3.5""",1200GB,0231A7CA,1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO),12 Gbps,"{'Model': ['1.2TB 12G SAS 10K 3.5in EP HDD General Intelligent Disk Equipment Module(FIO)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['Seagate'], 'Part Number': ['0231A7CA'], 'Form Factor': ['3.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['1200GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['C001'], 'Series': ['Exos 10E2400'], 'Product Id': ['ST1200MM0129']}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=46428&persona=live&column=partnerName&order=asc&redirectFrom=1.2TB%2012G%20SAS%2010K%203.5in%20EP%20HDD%20General%20Intelligent%20Disk%20Equipment%20Module%28FIO%29,VMware
hdd,"New H3C Technologies Co., Ltd.",AL15SEB24EQ,nan,"2.5""",2400GB,0231ASKQ,2.4T 12G SAS 10K 2.5in 512e HDD UC Generic Module(PSBS)(Spare Part),12 Gbps,"{'Model': ['2.4T 12G SAS 10K 2.5in 512e HDD UC Generic Module(PSBS)(Spare Part)'], 'Partner Name': ['New H3C Technologies Co., Ltd.'], 'Device Type': ['SAS'], 'Vendor Id': ['TOSHIBA'], 'Part Number': ['0231ASKQ'], 'Form Factor': ['2.5""'], 'Interface Speed': ['12 Gbps'], 'Capacity': ['2400GB'], 'RPM': [10000], 'Format': ['512e'], 'Minimum Firmware Version': ['1403'], 'Series': ['AL15SE'], 'Product Id': ['AL15SEB24EQ'], 'Notes': [""Please refer to “<a href='https://kb.vmware.com/s/article/87346”'>https://kb.vmware.com/s/article/87346”</a> for more details.""]}",https://compatibilityguide.broadcom.com/detail?program=hdd&productId=64089&persona=live&column=partnerName&order=asc&redirectFrom=2.4T%2012G%20SAS%2010K%202.5in%20512e%20HDD%20UC%20Generic%20Module%28PSBS%29%28Spare%20Part%29,VMware
